Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Christian McCaffrey,SFO,RB,27,16,16,83,67,0,0,0,1459,14,272,564,7,324,0,3,2
CeeDee Lamb,DAL,WR,24,17,17,181,135,0,0,0,113,2,14,1749,12,268,0,3,2
Josh Allen,BUF,QB,27,17,17,0,0,4306,29,579,524,15,111,0,0,393,18,7,4
Tyreek Hill,MIA,WR,29,16,16,171,119,0,0,0,15,0,6,1799,13,257,0,1,1
Jalen Hurts,PHI,QB,25,17,17,0,0,3858,23,538,605,15,157,0,0,357,15,9,5
Raheem Mostert,MIA,RB,31,15,15,32,25,0,0,0,1012,18,209,175,3,243,0,4,1
Amon-Ra St. Brown,DET,WR,24,16,16,164,119,0,0,0,24,0,4,1515,10,212,0,1,1
Dak Prescott,DAL,QB,30,17,17,0,0,4516,36,590,242,2,55,0,0,343,9,4,2
Mike Evans,TAM,WR,30,17,17,136,79,0,0,0,0,0,0,1255,13,204,0,0,0
Lamar Jackson,BAL,QB,26,16,16,0,0,3678,24,457,821,5,148,0,0,331,7,11,6
Sam LaPorta,DET,TE,22,17,14,120,86,0,0,0,4,0,1,889,10,153,0,0,0
Travis Etienne,JAX,RB,24,17,17,73,58,0,0,0,1008,11,267,476,1,224,0,0,0
Kyren Williams,LAR,RB,23,12,11,48,32,0,0,0,1144,12,228,206,3,223,0,3,2
Puka Nacua,LAR,WR,22,17,17,160,105,0,0,0,89,0,12,1486,6,194,0,1,0
D.J. Moore,CHI,WR,26,17,17,136,96,0,0,0,21,1,4,1364,8,191,0,1,1
Derrick Henry,TEN,RB,29,17,17,36,28,14,2,3,1167,12,280,214,0,219,0,0,0
Joe Mixon,CIN,RB,27,17,17,64,52,0,0,0,1034,9,257,376,3,215,0,0,0
Jordan Love,GNB,QB,25,17,17,0,0,4159,32,579,247,4,50,0,0,319,11,9,3
Breece Hall,NYJ,RB,22,17,16,95,76,0,0,0,994,5,223,591,4,215,0,2,0
A.J. Brown,PHI,WR,26,17,17,158,106,0,0,0,0,0,0,1456,7,184,0,2,2
Deebo Samuel,SFO,WR,27,15,15,89,60,0,0,1,225,5,37,892,7,184,0,1,0
George Kittle,SFO,TE,30,16,16,90,65,0,0,0,2,0,1,1020,6,138,0,0,0
Nico Collins,HOU,WR,24,15,10,109,80,0,0,0,7,0,1,1297,8,180,0,1,0
Rachaad White,TAM,RB,24,17,17,70,64,0,0,0,990,6,272,549,3,204,0,3,2
Brandon Aiyuk,SFO,WR,25,16,16,105,75,0,0,0,0,0,0,1342,7,174,0,1,1
Travis Kelce,KAN,TE,34,15,15,121,93,0,0,0,0,0,0,984,5,126,0,1,1
Keenan Allen,LAC,WR,31,13,13,150,108,49,1,2,6,0,2,1243,7,171,0,2,1
T.J. Hockenson,MIN,TE,26,15,11,127,95,0,0,0,0,0,0,960,5,124,0,1,1
Stefon Diggs,BUF,WR,30,17,17,160,107,0,0,0,5,0,1,1183,8,167,0,2,1
David Njoku,CLE,TE,27,16,16,123,81,0,0,0,0,0,0,882,6,120,0,2,2
Brock Purdy,SFO,QB,24,16,16,0,0,4280,31,444,144,2,39,0,0,296,11,6,2
David Montgomery,DET,RB,26,14,14,24,16,0,0,0,1015,13,219,117,0,191,0,2,1
Ja'Marr Chase,CIN,WR,23,16,16,145,100,-7,0,1,-6,0,3,1216,7,163,0,1,0
Davante Adams,LVR,WR,31,17,17,175,103,0,0,0,0,0,0,1144,8,162,0,0,0
Jahmyr Gibbs,DET,RB,21,15,3,71,52,0,0,0,945,10,182,316,1,190,0,2,1
Evan Engram,JAX,TE,29,17,15,143,114,0,0,0,0,0,0,963,4,116,0,3,2
James Cook,BUF,RB,24,17,13,54,44,0,0,0,1122,2,237,445,4,189,0,4,2
Bijan Robinson,ATL,RB,21,17,16,86,58,0,0,0,976,4,214,487,4,188,0,4,3
D.K. Metcalf,SEA,WR,26,16,16,119,66,0,0,0,0,0,0,1114,8,159,0,0,0
Jared Goff,DET,QB,29,17,17,0,0,4575,30,605,21,2,32,0,0,289,12,6,4
Taysom Hill,NOR,TE,33,16,7,40,33,83,1,11,401,4,81,291,2,111,0,1,1
Amari Cooper,CLE,WR,29,15,15,128,72,0,0,0,0,0,0,1250,5,155,0,2,1
Saquon Barkley,NYG,RB,26,14,14,60,41,0,0,0,962,6,247,280,4,182,0,2,2
Calvin Ridley,JAX,WR,29,17,17,136,76,0,0,0,23,0,9,1016,8,154,0,1,0
Jayden Reed,GNB,WR,23,16,13,94,64,0,0,0,119,2,11,793,8,153,0,2,0
Cole Kmet,CHI,TE,24,17,17,90,73,0,0,0,2,0,3,719,6,108,0,1,0
