"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"4430807","106312","251","Texas","Big 12","Atlanta","2023","8","1","8","Bijan Robinson","Running Back","71","215","2","1","96","Tucson","AZ","USA","32.2228765","-110.9748477","04019"
"4429795","106336","333","Alabama","SEC","Detroit","2023","12","1","12","Jahmyr Gibbs","Running Back","69","199","28","2","88","Dalton","GA","USA","34.7691867","-84.9702475","13313"
"4426385","106439","26","UCLA","Pac-12","Seattle","2023","52","2","21","Zach Charbonnet","Running Back","72","214","64","3","79","Camarillo","CA","USA","34.2164099","-119.0376573","06111"
"4599739","106659","2628","TCU","Big 12","New Orleans","2023","71","3","8","Kendre Miller","Running Back","71","215","73","4","77","Mount Enterprise","TX","USA","31.9179473","-94.6810439","48401"
"4428557","106741","2655","Tulane","American Athletic","Tennessee","2023","81","3","18","Tyjae Spears","Running Back","70","201","104","8","69","Ponchatoula","LA","USA","30.4388041","-90.4414762","22105"
"4429160","106414","245","Texas A&M","SEC","Miami","2023","84","3","21","Devon Achane","Running Back","69","188","78","5","75","Missouri City","TX","USA","29.6185669","-95.5377215","48157"
"4429013","106425","2","Auburn","SEC","Jacksonville","2023","88","3","25","Tank Bigsby","Running Back","72","210","91","7","71","Lagrange","GA","USA","33.039291","-85.0313269","13285"
"4426386","106750","251","Texas","Big 12","Chicago","2023","115","4","13","Roschon Johnson","Running Back","72","219","84","6","73","Port Neches","TX","USA","29.9913244","-93.9585067","48245"
"4429202","106790","221","Pittsburgh","ACC","New York","2023","143","5","9","Israel Abanikanda","Running Back","70","216","108","9","68","Brooklyn","NY","USA","40.6501038","-73.9495823","36047"
"4362238","106515","356","Illinois","Big Ten","Cincinnati","2023","163","5","29","Chase Brown","Running Back","70","209","156","12","57","London","ON","CAN","","",""
"4570561","106466","201","Oklahoma","Big 12","New York","2023","172","5","38","Eric Gray","Running Back","70","207","132","10","62","Memphis","TN","USA","35.1490215","-90.0516285","47157"
"4569609","106818","77","Northwestern","Big Ten","Indianapolis","2023","176","5","42","Evan Hull","Running Back","70","209","279","21","38","Maple Grove","MN","USA","45.0984983","-93.4419222","27053"
"4362619","106403","96","Kentucky","SEC","Washington","2023","193","6","16","Chris Rodriguez Jr.","Running Back","72","217","202","15","48","Mcdonough","GA","USA","33.4473361","-84.1468616","13151"
"4431453","106459","2306","Kansas State","Big 12","Dallas","2023","212","6","35","Deuce Vaughn","Running Back","65","179","191","14","50","Round Rock","TX","USA","30.508235","-97.6788934","48491"
"4685035","106360","145","Ole Miss","SEC","Los Angeles","2023","215","6","38","Zach Evans","Running Back","71","202","160","13","56","Houston","TX","USA","29.7589382","-95.3676974","48201"
"4430388","106470","5","UAB","Conference USA","Minnesota","2023","222","7","5","DeWayne McBride","Running Back","70","209","141","11","60","Starke","FL","USA","29.9443488","-82.1101137","12007"
"4428119","106499","2117","Central Michigan","Mid-American","Green Bay","2023","235","7","18","Lew Nichols III","Running Back","","","287","23","37","Detroit","MI","USA","42.3315509","-83.0466403","26163"
"4427391","106337","61","Georgia","SEC","Seattle","2023","237","7","20","Kenny McIntosh","Running Back","72","204","209","16","47","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
