"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"3929630","101507","213","Penn State","Big Ten","New York","2018","2","1","2","Saquon Barkley","Running Back","72","233","1","1","97","Coplay","PA","USA","40.6700965","-75.4954612","42077"
"3139925","101710","21","San Diego State","Mountain West","Seattle","2018","27","1","27","Rashaad Penny","Running Back","71","220","47","5","84","Norwalk","CA","USA","33.9092802","-118.0849169","06037"
"3128721","101712","61","Georgia","SEC","New England","2018","31","1","31","Sony Michel","Running Back","71","214","31","2","87","Plantation","FL","USA","26.1265258","-80.25786123765101","12011"
"3128720","101549","61","Georgia","SEC","Cleveland","2018","35","2","3","Nick Chubb","Running Back","71","227","34","3","86","Cedartown","GA","USA","34.0124425","-85.2559398","13233"
"3912550","101527","30","USC","Pac-12","Tampa Bay","2018","38","2","6","Ronald Jones II","Running Back","71","205","56","6","82","McKinney","TX","USA","33.1976496","-96.6154471","48085"
"3916925","101522","2","Auburn","SEC","Detroit","2018","43","2","11","Kerryon Johnson","Running Back","72","213","79","7","75","Huntsville","AL","USA","34.729847","-86.5859011","01089"
"3843750","101514","99","LSU","SEC","Washington","2018","59","2","27","Derrius Guice","Running Back","71","224","35","4","86","Baton Rouge","LA","USA","30.4459596","-91.18738","22033"
"3122672","101573","2483","Oregon","Pac-12","Denver","2018","71","3","7","Royce Freeman","Running Back","72","229","90","8","73","Imperial","CA","USA","32.8475529","-115.5694391","06025"
"3916430","101790","152","NC State","ACC","Indianapolis","2018","104","4","4","Nyheim Hines","Running Back","68","198","112","10","69","Garner","NC","USA","35.7112642","-78.6141709","37183"
"3917846","101600","2390","Miami","ACC","Cincinnati","2018","112","4","12","Mark Walton","Running Back","70","202","97","9","71","Miami","FL","USA","25.7742658","-80.1936589","12086"
"3123969","101775","2572","Southern Mississippi","Conference USA","Atlanta","2018","126","4","26","Ito Smith","Running Back","69","198","292","20","36","Mobile","AL","USA","30.6943566","-88.0430541","01097"
"3128774","101583","9","Arizona State","Pac-12","Miami","2018","131","4","31","Kalen Ballage","Running Back","74","228","121","11","68","Peyton","CO","USA","39.0288809","-104.4830238","08041"
"3119195","102744","2230","Fordham","Patriot","Arizona","2018","134","4","34","Chase Edmonds","Running Back","69","205","","","","Ewa Beach","HI","USA","21.315603","-158.008804","15003"
"550016","102030","145","Ole Miss","SEC","Indianapolis","2018","169","5","32","Jordan Wilkins","Running Back","73","216","301","20","34","Cordova","TN","USA","35.1556451","-89.7761955","47157"
"3915381","101777","2633","Tennessee","SEC","Los Angeles","2018","176","6","2","John Kelly","Running Back","70","216","159","13","60","Detroit","MI","USA","42.3315509","-83.0466403","26163"
"549838","102192","2348","Louisiana Tech","Conference USA","New Orleans","2018","201","6","27","Boston Scott","Running Back","67","197","","36","30","Baton Rouge","LA","USA","30.4459596","-91.18738","22033"
"4261020","102047","330","Virginia State","CIAA","New York","2018","204","6","30","Trenton Cannon","Running Back","70","185","","38","30","","","","","",""
"548155","102050","8","Arkansas","SEC","Denver","2018","226","7","8","David Williams","Running Back","72","226","","64","30","Philadelphia","PA","USA","39.9527237","-75.1635262","42101"
"3126367","101539","333","Alabama","SEC","Dallas","2018","236","7","18","Bo Scarbrough","Running Back","73","228","165","14","59","Northport","AL","USA","33.2449315","-87.6728397782913","01125"
"3116136","101639","77","Northwestern","Big Ten","Los Angeles","2018","251","7","33","Justin Jackson","Running Back","72","193","184","15","56","Carol Stream","IL","USA","41.9125286","-88.1347927","17043"
